time obj_dir/Vfhe_alu_top 
ntt_sequence start
load set start
load root start
load data start
load start
bit_rev start
ntt start
a_out 300c03218055451c, b_out 12e7ada02bb1d2ae
a_out 2fedb837fc3ca4ed, b_out 301247c803c05b1b
a_out 00c80d37d3288c63, b_out 1f37f2c82cd473a5
a_out 0236c4914109d1ce, b_out 1dc93b6ebef32e36
a_out 1f4313cf94f9ba0f, b_out 20bcec306b0045ed
a_out 13b09cf2170edda9, b_out 2c4f630de8eb2255
a_out 095bb24c3ce10a9a, b_out 16a44db3c31bf568
a_out 0aad9f98a1121601, b_out 19bfe989e0fe8d9f
a_out 0449b6f60e379b8d, b_out 1748bfe76fabc0e3
a_out 3676bdcea56a3fd4, b_out 0f70a3b4b2a9ef9c
a_out 29792d76eb0b9460, b_out 109f7105bcd43c20
a_out 03b09cf217105dad, b_out 1c4f630de8eca259
a_out 0dc93b6ebef4ae3b, b_out 1236c491410851d5
a_out 0000000000000002, b_out 1ffffffffffd0004
a_out 12f3b0c1ac0b97bb, b_out 2d0c4f3e53ee6845
a_out 3e063527c12ed80d, b_out 3c126954e6b0f87f
a_out 0a19f4573dccbf7f, b_out 3bcd6d2c1a476ffd
a_out 31a61ada770b0b72, b_out 2e59e52588f1f49a
a_out 076282edc84da8a4, b_out 189d7d1237af5768
a_out 0236c4914109d1cd, b_out 1dc93b6ebef32e35
a_out 0dc93b6ebef4ae35, b_out 1236c491410851cf
a_out 0000000000000008, b_out 1ffffffffffd000a
a_out 0000000000000000, b_out 1ffffffffffd0002
a_out 01877738f2c7e6ab, b_out 05d9c2ab3b52d4ad
a_out 244718189e193f4e, b_out 1457ae0333c0055e
a_out 32cabf5f94f03d9b, b_out 08c7b77de8f61ecf
a_out 31781b9d7e152e4a, b_out 12f56d8503f87554
a_out 1d0c4f3e53efe842, b_out 22f3b0c1ac0a17ba
a_out 0f4313cf94fb3a13, b_out 10bcec306b01c5f1
a_out 1d0c4f3e53efe845, b_out 22f3b0c1ac0a17bd
a_out 0dc93b6ebef4ae37, b_out 1236c491410851d1
a_out 175fc079de20a314, b_out 146f028cd210bbe6
a_out 07da710f14365a5f, b_out 0c56cbea3b8c46bf
a_out 18b5654904ce9edb, b_out 2456e9f54f1e4973
a_out 3e94c99e1a6e9577, b_out 045ee7239198824f
a_out 0f4313cf94fb3a15, b_out 10bcec306b01c5f3
a_out 1c4f630de8eca252, b_out 23b09cf2170d5da8
a_out 1dc93b6ebef32e33, b_out 2236c4914106d1cd
a_out 10bcec306b01c5ee, b_out 2f4313cf94f83a12
a_out 0bb25d7d9e711252, b_out 2fe0195fdf754a28
a_out 19666c6663066271, b_out 2b071cbc1f07413d
a_out 232aa9abaa3e666a, b_out 3cd5565455be999a
a_out 3f49a204e7dc7f86, b_out 20b65dfb1820807e
a_out 0f4313cf94fb3a1a, b_out 10bcec306b01c5f8
a_out 02f3b0c1ac0d17bf, b_out 1d0c4f3e53efe849
a_out 0f4313cf94fb3a13, b_out 10bcec306b01c5f1
a_out 0f4313cf94fb3a14, b_out 10bcec306b01c5f2
a_out 0061b547dd0f4250, b_out 36c338731ec37682
a_out 301140dea091fd8f, b_out 18c9d166638f49ab
a_out 03fb570e69021fb4, b_out 00723214190b83e6
a_out 2e88fdade74d9789, b_out 0d09792f9698c4dd
a_out 0dc93b6ebef4ae3b, b_out 1236c491410851d5
a_out 1f4313cf94f9ba10, b_out 20bcec306b0045ee
a_out 0000000000000003, b_out 1ffffffffffd0005
a_out 0e86279f29f7f425, b_out 1179d860d6050be1
a_out 13dff7d2fc862cba, b_out 0d99e08dd97d5f2a
a_out 1e71a25cb18cc4df, b_out 001485427863af4d
a_out 07048991502e1f6e, b_out 3a754ecf85d26c72
a_out 28a89e1bdfd31dd3, b_out 15dd89834a205651
a_out 0dc93b6ebef4ae36, b_out 1236c491410851d0
a_out 0f4313cf94fb3a15, b_out 10bcec306b01c5f3
a_out 1d0c4f3e53efe83e, b_out 22f3b0c1ac0a17b6
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 0fe1885d4f0fbd82, b_out 301e77a2b0ea427a
a_out 26a2c0b0dfeebf47, b_out 195d3f4f200b40b5
a_out 3e27953231b3a636, b_out 0352432ea44ce5aa
a_out 1fd72ca7dc66e89d, b_out 1eaefaf74d8c8b87
a_out 0f2ff6c335993289, b_out 29a83d8daf4eade1
a_out 21d82cee0677aaf1, b_out 2e2ab10618bbbbdd
